Site,Acrosorium venulosum,Rhodomenia ,Botrocladia pseudo,Plocamium cartilagineum,Cryptopleura rup. ,Laurencia pacifica,Gigartina corymbifera,Callophyllis flabelluata,Prionitis lanceolata,Gelidium spp. ,Prionitis linearis,Other Reds,Red Juve
site_1,0.714285714,0,0,0,0,0,0.142857143,0,0,0,0,0,0
site_2,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0
site_3,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0
site_4,0.285714286,0,0,0,0,0,0,0,0,0,0.142857143,0,0
site_5,0.142857143,0,0,0,0,0,0,0,0,0,0.142857143,0,0
site_6,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0.142857143
site_7,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0
site_8,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0
site_9,0,0,0,0,0,0,0,0,0,0,0,0,0
site_10,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0
site_11,0.142857143,0,0,0,0,0,0,0,0,0,0.142857143,0,0
site_12,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0
site_13,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0
site_14,0,0,0,0,0,0,0,0,0,0,0,0,0
site_15,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0
site_16,0.428571429,0,0,0,0,0,0.142857143,0,0,0,0,0,0
site_17,0,0,0,0,0,0,0,0,0,0,0,0,0
site_18,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0
site_19,0,0,0,0,0,0,0,0,0,0,0,0,0
site_20,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0
site_21,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0
site_22,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0
site_23,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.142857143
site_24,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0
site_25,0,0.142857143,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0
site_26,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0
site_27,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0.142857143
site_28,0.142857143,0,0,0.142857143,0,0.142857143,0.142857143,0,0,0,0,0.142857143,0
site_29,0.142857143,0,0,0,0,0.285714286,0,0,0,0,0,0,0
site_30,0.428571429,0,0,0.142857143,0,0,0,0,0,0,0,0.142857143,0.142857143
site_31,0.285714286,0,0,0,0,0,0.142857143,0,0,0,0,0,0
site_32,0,0,0,0,0,0,0,0,0,0,0,0,0
site_33,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.285714286
site_34,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0
site_35,0,0,0,0,0,0,0,0,0,0,0.142857143,0.142857143,0.142857143
site_36,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.142857143
site_37,0.75,0,0,0,0,0,0,0,0,0,0.1875,0,0.0625
site_38,0.625,0,0,0,0,0,0.125,0,0,0,0,0,0
site_39,0,0,0,0,0,0,0.4375,0,0,0,0.0625,0,0
site_40,0.625,0.0625,0,0,0,0,0,0,0,0,0.0625,0,0
site_41,0.5625,0,0,0,0,0,0,0,0,0,0,0,0
site_42,0,0,0,0,0,0,0,0,0,0,0,0,0
site_43,0,0,0,0,0,0,0,0,0,0,0,0,0
site_44,0.8125,0,0,0,0,0,0,0,0,0,0,0,0
site_45,0.375,0,0,0,0,0,0,0,0,0,0,0,0.375
site_46,0.3125,0.3125,0,0,0,0,0,0,0,0,0,0,0
site_47,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0
site_48,0.4375,0,0,0,0,0,0,0,0,0,0,0,0
site_49,0,0,0,0,0,0,0.0625,0,0,0,0,0,0
site_50,0.1875,0,0,0,0,0,0,0,0,0,0,0,0
